seed,week_number,attendance_rate,purchase_rate,buyer_seller_pair_stability,mean_loyalty_streak,total_revenue,promotion_seller_id,Poor_to_Slow_share,Poor_to_Shigh_share,Middle_to_Slow_share,Middle_to_Shigh_share,Rich_to_Slow_share,Rich_to_Shigh_share
0,0,0.85,0.67,,1.0,204.0,-1,1.0,0.0,0.7142857142857143,0.2857142857142857,0.6666666666666666,0.3333333333333333
0,1,0.84,0.69,0.3958333333333333,1.2753623188405796,176.0,-1,1.0,0.0,0.8947368421052632,0.10526315789473684,0.8,0.2
0,2,0.86,0.73,0.43137254901960786,1.4383561643835616,198.0,-1,1.0,0.0,0.8095238095238095,0.19047619047619047,0.7857142857142857,0.21428571428571427
0,3,0.81,0.64,0.391304347826087,1.5625,200.0,-1,1.0,0.0,0.84,0.16,0.6,0.4
0,4,0.87,0.74,0.37209302325581395,1.527027027027027,193.99999999999997,1,1.0,0.0,0.85,0.15,0.7368421052631579,0.2631578947368421
0,5,0.85,0.72,0.41509433962264153,1.7083333333333333,218.0,-1,1.0,0.0,0.75,0.25,0.625,0.375
0,6,0.78,0.65,0.425531914893617,1.7692307692307692,178.0,-1,1.0,0.0,0.7368421052631579,0.2631578947368421,0.8333333333333334,0.16666666666666666
0,7,0.82,0.69,0.4444444444444444,1.9710144927536233,195.6,3,1.0,0.0,0.8,0.2,0.7333333333333333,0.26666666666666666
0,8,0.9,0.83,0.6,2.253012048192771,234.0,-1,1.0,0.0,0.9333333333333333,0.06666666666666667,0.6666666666666666,0.3333333333333333
0,9,0.87,0.72,0.41379310344827586,2.0555555555555554,178.0,-1,1.0,0.0,0.9047619047619048,0.09523809523809523,0.9090909090909091,0.09090909090909091
0,10,0.83,0.71,0.4117647058823529,1.9859154929577465,212.0,-1,1.0,0.0,0.7222222222222222,0.2777777777777778,0.7368421052631579,0.2631578947368421
0,11,0.84,0.73,0.45454545454545453,1.8904109589041096,216.0,-1,1.0,0.0,0.6842105263157895,0.3157894736842105,0.7058823529411765,0.29411764705882354
0,12,0.84,0.68,0.3829787234042553,2.0294117647058822,196.0,-1,1.0,0.0,0.7894736842105263,0.21052631578947367,0.6875,0.3125
0,13,0.85,0.65,0.5434782608695652,2.3384615384615386,188.0,-1,1.0,0.0,0.7058823529411765,0.29411764705882354,0.8125,0.1875
0,14,0.83,0.73,0.5294117647058824,2.3013698630136985,218.0,-1,1.0,0.0,0.6666666666666666,0.3333333333333333,0.7894736842105263,0.21052631578947367
0,15,0.77,0.7,0.44,2.0714285714285716,208.0,-1,1.0,0.0,0.631578947368421,0.3684210526315789,0.7647058823529411,0.23529411764705882
0,16,0.87,0.77,0.3333333333333333,1.9870129870129871,213.8,4,1.0,0.0,0.6521739130434783,0.34782608695652173,0.6428571428571429,0.35714285714285715
0,17,0.81,0.66,0.5,2.015151515151515,174.0,-1,1.0,0.0,0.8421052631578947,0.15789473684210525,0.8181818181818182,0.18181818181818182
0,18,0.81,0.67,0.3111111111111111,1.626865671641791,202.60000000000002,3,1.0,0.0,0.6521739130434783,0.34782608695652173,0.5882352941176471,0.4117647058823529
0,19,0.82,0.7,0.4888888888888889,2.057142857142857,187.79999999999998,1,1.0,0.0,0.8260869565217391,0.17391304347826086,0.6428571428571429,0.35714285714285715
0,20,0.84,0.69,0.5192307692307693,1.9565217391304348,188.0,-1,1.0,0.0,0.8888888888888888,0.1111111111111111,0.5833333333333334,0.4166666666666667
