seed,week_number,attendance_rate,purchase_rate,buyer_seller_pair_stability,mean_loyalty_streak,total_revenue,promotion_seller_id,Poor_to_Slow_share,Poor_to_Shigh_share,Middle_to_Slow_share,Middle_to_Shigh_share,Rich_to_Slow_share,Rich_to_Shigh_share
0,0,0.85,0.68,,1.0,187.20000000000005,-1,1.0,0.0,0.6896551724137931,0.3103448275862069,0.6875,0.3125
0,1,0.84,0.69,0.3877551020408163,1.2753623188405796,161.99999999999994,-1,1.0,0.0,0.8947368421052632,0.10526315789473684,0.7,0.3
0,2,0.86,0.73,0.43137254901960786,1.4383561643835616,198.0,-1,1.0,0.0,0.8095238095238095,0.19047619047619047,0.7857142857142857,0.21428571428571427
0,3,0.81,0.62,0.38636363636363635,1.532258064516129,209.00000000000003,-1,1.0,0.0,0.8333333333333334,0.16666666666666666,0.5,0.5
0,4,0.87,0.73,0.3902439024390244,1.5342465753424657,207.35999999999999,1,1.0,0.0,1.0,0.0,0.75,0.25
0,5,0.85,0.71,0.4117647058823529,1.6901408450704225,230.60000000000005,-1,1.0,0.0,0.7916666666666666,0.20833333333333334,0.6428571428571429,0.35714285714285715
0,6,0.78,0.65,0.43478260869565216,1.8,195.39999999999998,-1,1.0,0.0,0.7368421052631579,0.2631578947368421,0.8333333333333334,0.16666666666666666
0,7,0.82,0.69,0.4444444444444444,1.9420289855072463,207.79999999999995,3,1.0,0.0,0.7916666666666666,0.20833333333333334,0.7333333333333333,0.26666666666666666
0,8,0.9,0.81,0.6037735849056604,2.259259259259259,250.20000000000002,-1,1.0,0.0,0.896551724137931,0.10344827586206896,0.6923076923076923,0.3076923076923077
0,9,0.87,0.72,0.40350877192982454,2.013888888888889,194.59999999999997,-1,1.0,0.0,0.9,0.1,0.9,0.1
0,10,0.83,0.71,0.4117647058823529,1.9859154929577465,229.59999999999997,-1,1.0,0.0,0.7222222222222222,0.2777777777777778,0.7222222222222222,0.2777777777777778
0,11,0.84,0.73,0.45454545454545453,1.904109589041096,236.2,-1,1.0,0.0,0.6842105263157895,0.3157894736842105,0.6,0.4
0,12,0.84,0.68,0.40425531914893614,2.0588235294117645,207.19999999999996,-1,1.0,0.0,0.85,0.15,0.7333333333333333,0.26666666666666666
