seed,participation_rate,avg_purchases_per_buyer,total_revenue,total_inventory_remaining,n_blocked_by_utility,n_blocked_by_budget,n_blocked_by_inventory,n_not_noticed,promotion_active,promotion_seller_id,promotion_seller_class,promotion_discount,visibility_rate_seller_0,visibility_rate_seller_1,visibility_rate_seller_2,visibility_rate_seller_3,visibility_rate_seller_4,Poor_participation_rate,Poor_to_Slow_share,Poor_to_Shigh_share,Poor_blocked_by_budget_at_Slow,Poor_blocked_by_budget_at_Shigh,Middle_participation_rate,Middle_to_Slow_share,Middle_to_Shigh_share,Middle_blocked_by_budget_at_Slow,Middle_blocked_by_budget_at_Shigh,Rich_participation_rate,Rich_to_Slow_share,Rich_to_Shigh_share,Rich_blocked_by_budget_at_Slow,Rich_blocked_by_budget_at_Shigh
0,0.73,0.94,220.39999999999998,436,130,173,0,103,True,2,Slow,0.3,0.89,0.97,0.64,0.87,0.6,0.6571428571428571,1.0,0.0,42,103,0.9,0.8518518518518519,0.14814814814814814,6,16,0.9,0.6190476190476191,0.38095238095238093,1,5
1,0.78,0.91,206.6,439,134,198,0,77,True,2,Slow,0.3,0.95,0.96,0.66,0.96,0.7,0.7285714285714285,1.0,0.0,56,116,0.85,0.8181818181818182,0.18181818181818182,9,13,1.0,0.7222222222222222,0.2777777777777778,1,3
2,0.79,0.95,208.2,435,127,197,0,81,True,2,Slow,0.3,0.95,0.97,0.69,0.87,0.71,0.7714285714285715,1.0,0.0,56,110,0.75,0.85,0.15,9,16,1.0,0.7619047619047619,0.23809523809523808,1,5
3,0.77,0.91,216.79999999999998,439,132,177,0,100,True,2,Slow,0.3,0.94,0.93,0.63,0.89,0.61,0.7142857142857143,1.0,0.0,50,101,0.85,0.7916666666666666,0.20833333333333334,9,15,1.0,0.5882352941176471,0.4117647058823529,0,2
4,0.76,0.9,219.39999999999998,440,138,185,0,87,True,2,Slow,0.3,0.94,0.95,0.7,0.88,0.66,0.7,1.0,0.0,47,109,0.9,0.6521739130434783,0.34782608695652173,16,9,0.9,0.7222222222222222,0.2777777777777778,0,4
5,0.8,0.92,224.39999999999998,438,124,196,0,88,True,2,Slow,0.3,0.89,0.94,0.67,0.91,0.71,0.7571428571428571,1.0,0.0,52,110,0.85,0.65,0.35,13,17,1.0,0.631578947368421,0.3684210526315789,0,4
6,0.76,0.89,235.2,441,132,185,0,94,True,2,Slow,0.3,0.95,0.94,0.62,0.89,0.66,0.7571428571428571,1.0,0.0,53,105,0.7,0.4666666666666667,0.5333333333333333,14,8,0.9,0.5714285714285714,0.42857142857142855,0,5
7,0.78,0.92,204.6,438,128,194,0,86,True,2,Slow,0.3,0.97,0.96,0.65,0.91,0.65,0.7142857142857143,1.0,0.0,59,105,0.95,0.8,0.2,7,19,0.9,0.8235294117647058,0.17647058823529413,1,3
8,0.73,0.89,200.79999999999998,441,127,190,0,94,True,2,Slow,0.3,0.94,0.98,0.62,0.88,0.64,0.6285714285714286,1.0,0.0,47,107,1.0,0.8333333333333334,0.16666666666666666,13,21,0.9,0.7333333333333333,0.26666666666666666,0,2
9,0.75,0.91,213.2,439,131,206,0,72,True,2,Slow,0.3,0.97,0.95,0.68,0.94,0.74,0.6714285714285714,1.0,0.0,59,119,0.9,0.7777777777777778,0.2222222222222222,8,16,1.0,0.6470588235294118,0.35294117647058826,0,4
