transaction_id,seed,buyer_id,buyer_class,seller_id,seller_class,visit_order,price,budget_before,budget_after,seller_inventory_after
0,0,0,Poor,1,Slow,0,2.0,3.0,1.0,129
1,0,1,Poor,0,Slow,2,2.0,3.0,1.0,129
2,0,2,Poor,0,Slow,4,2.0,3.0,1.0,128
3,0,3,Poor,0,Slow,3,2.0,3.0,1.0,127
4,0,4,Poor,2,Slow,1,2.0,3.0,1.0,129
5,0,5,Poor,2,Slow,1,2.0,3.0,1.0,128
6,0,6,Poor,0,Slow,2,2.0,3.0,1.0,126
7,0,7,Poor,1,Slow,3,2.0,3.0,1.0,128
8,0,8,Poor,0,Slow,0,2.0,3.0,1.0,125
9,0,9,Poor,0,Slow,4,2.0,3.0,1.0,124
10,0,10,Poor,2,Slow,0,2.0,3.0,1.0,127
11,0,11,Poor,2,Slow,2,2.0,3.0,1.0,126
12,0,13,Poor,1,Slow,1,2.0,3.0,1.0,127
13,0,14,Poor,1,Slow,2,2.0,3.0,1.0,126
14,0,15,Poor,2,Slow,1,2.0,3.0,1.0,125
15,0,17,Poor,1,Slow,0,2.0,3.0,1.0,125
16,0,19,Poor,0,Slow,1,2.0,3.0,1.0,123
17,0,21,Poor,0,Slow,4,2.0,3.0,1.0,122
18,0,22,Poor,1,Slow,4,2.0,3.0,1.0,124
19,0,23,Poor,1,Slow,1,2.0,3.0,1.0,123
20,0,24,Poor,0,Slow,0,2.0,3.0,1.0,121
21,0,27,Poor,1,Slow,4,2.0,3.0,1.0,122
22,0,28,Poor,0,Slow,4,2.0,3.0,1.0,120
23,0,30,Poor,2,Slow,1,2.0,3.0,1.0,124
24,0,31,Poor,2,Slow,4,2.0,3.0,1.0,123
25,0,34,Poor,0,Slow,0,2.0,3.0,1.0,119
26,0,35,Poor,0,Slow,1,2.0,3.0,1.0,118
27,0,36,Poor,2,Slow,3,2.0,3.0,1.0,122
28,0,37,Poor,0,Slow,1,2.0,3.0,1.0,117
29,0,38,Poor,1,Slow,3,2.0,3.0,1.0,121
30,0,39,Poor,1,Slow,1,2.0,3.0,1.0,120
31,0,41,Poor,1,Slow,4,2.0,3.0,1.0,119
32,0,42,Poor,2,Slow,0,2.0,3.0,1.0,121
33,0,44,Poor,0,Slow,2,2.0,3.0,1.0,116
34,0,45,Poor,0,Slow,2,2.0,3.0,1.0,115
35,0,49,Poor,2,Slow,1,2.0,3.0,1.0,120
36,0,50,Poor,2,Slow,2,2.0,3.0,1.0,119
37,0,52,Poor,1,Slow,2,2.0,3.0,1.0,118
38,0,54,Poor,0,Slow,0,2.0,3.0,1.0,114
39,0,55,Poor,0,Slow,4,2.0,3.0,1.0,113
40,0,57,Poor,2,Slow,0,2.0,3.0,1.0,118
41,0,59,Poor,0,Slow,0,2.0,3.0,1.0,112
42,0,60,Poor,1,Slow,0,2.0,3.0,1.0,117
43,0,64,Poor,1,Slow,1,2.0,3.0,1.0,116
44,0,66,Poor,1,Slow,0,2.0,3.0,1.0,115
45,0,70,Middle,3,Shigh,2,4.199999999999999,7.0,2.8000000000000007,69
46,0,71,Middle,1,Slow,0,2.0,7.0,5.0,114
47,0,71,Middle,2,Slow,1,2.0,5.0,3.0,117
48,0,71,Middle,0,Slow,3,2.0,3.0,1.0,111
49,0,72,Middle,1,Slow,0,2.0,7.0,5.0,113
50,0,72,Middle,0,Slow,2,2.0,5.0,3.0,110
51,0,73,Middle,2,Slow,1,2.0,7.0,5.0,116
52,0,73,Middle,1,Slow,3,2.0,5.0,3.0,112
53,0,75,Middle,1,Slow,0,2.0,7.0,5.0,111
54,0,75,Middle,2,Slow,2,2.0,5.0,3.0,115
